PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Eight laning of Haryana/ Delhi Border to Mukaraba Chowk (NS-18/DL) Project,185,Substantial Expansion,982.2,Completed,,Jul-11,NCT of Delhi,30-Oct-01,01/07/08,982.2,512,470.2
Ekangarsarai-Jehanabad-Arwal (NH-110)Two Lane Road Project,838,New Unit,1650,No Information,Build Operate Transfer,,Bihar,25-Nov-10,25/11/10,1650,1650,0
Electronic City Corridor Highway (NH-7) Project,387,Renovation & Modernisation,16,No Information,,,Karnataka,01-Jun-04,01/06/04,16,16,0
Eluru-Vijaywada Highway including Eluru bypass Project,22,Substantial Expansion,3353.5,Completed,"Engineering, Procurement & Construction",Jan-02,Andhra Pradesh,01-Mar-97,01/01/00,3353.5,1350,2003.5
Ena-Kim Package-6 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),1626,Substantial Expansion,22718.6,Under Implementation,Hybrid Annuity,Dec-23,Gujarat,31-Mar-98,07/12/22,22718.6,15126.6,7592
End of Hardoi District to Lucknow Ring Road (NH-731) Four Lane Highway Project (Package-IV of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2068,New Unit,2810,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Nov-10,14/03/22,2810,2810,0
Etawah Bypass Highway Project,73,Substantial Expansion,1321.8,Completed,"Engineering, Procurement & Construction",May-08,Uttar Pradesh,01-Sep-00,31/05/08,1321.8,990,331.8
Etawah-Rajpur (GTRIP/IC) Highway Project,693,New Unit,3484.4,Completed,"Engineering, Procurement & Construction",May-08,Uttar Pradesh,01-Mar-02,01/03/02,3484.4,3484.4,0
Exhibition Centre FOB project,833,New Unit,10,No Information,,,Karnataka,01-Dec-10,01/12/10,10,10,0
Expressway from Dighi Industrial Cluster to JNPT Project,1724,New Unit,45000,No Information,,,Maharashtra,01-Apr-16,01/07/16,45000,45000,0
FOBs on Gurgaon-Kotputli-Jaipur (NH-8 & 48) Project,1390,New Unit,703.6,Under Implementation,"Engineering, Procurement & Construction",,Haryana,31-Oct-17,31/10/17,703.6,703.6,0
Fagne-Maharashtra/Gujarat Border (Songarh) (NH-6) Four Laning Highway Project (Bharatmala),1801,Substantial Expansion,18857.4,Under Implementation,"Engineering, Procurement & Construction",,Maharashtra,10-Mar-10,25/07/15,18857.4,19091.4,-234
Faridabad Road Improvement (NH-2) Project,364,Renovation & Modernisation,86.2,No Information,,,Haryana,01-Dec-03,01/12/03,86.2,86.2,0
Faridabad-Palwal Six Lane Expressway Project (Package 6 of Eastern Peripheral Expressway),1124,New Unit,7685.6,Completed,"Engineering, Procurement & Construction",May-18,Haryana,31-Jan-95,29/10/14,7685.6,7685.6,0
Farukhanagar-Kottakata(NH-7) Highway Project,323,New Unit,5700,Completed,Build Operate Transfer,Mar-09,Telangana,01-Dec-03,01/01/09,5700,5810,-110
Farukhnagar-Jadcheria Four Laning Highway Project,566,Substantial Expansion,5030,Completed,Build Operate Transfer,Feb-09,Telangana,30-Jun-04,30/06/04,5030,5030,0
Fatehpur-Khaga (TNHP/II-C) Highway Project,149,Substantial Expansion,4060.5,Completed,,Sep-10,Uttar Pradesh,01-Jan-01,30/09/10,4060.5,2950,1110.5
Fazilka-Abohar (NH-07) Four Lane Highway Project,3012,Substantial Expansion,9698,Under Implementation,Hybrid Annuity,,Punjab,01-Jan-23,09/02/23,9698,9698,0
Flyover Bridge (FOB) at Nathayyapalem (Mindi) on NH-16 Project,1749,New Unit,450,No Information,,,Andhra Pradesh,15-May-18,30/09/20,450,450,0
Flyover on Shivpuri-Kanpur Road Project,3003,New Unit,1260,Under Implementation,,,Uttar Pradesh,01-Jan-04,13/03/23,1260,1260,0
Flyover/Underpass at Vizag Airport Junction Project,1751,New Unit,750,Under Implementation,,,Andhra Pradesh,01-Apr-18,30/09/20,750,750,0
Foot Over Bridge across NH-2 Project,1415,New Unit,135,No Information,"Engineering, Procurement & Construction",,Haryana,18-Oct-17,18/10/17,135,135,0
Forbesganj-Jogbani (NH-57A) Four Laning Highway Project,978,New Unit,3120,Under Implementation,"Engineering, Procurement & Construction",,Bihar,30-Apr-09,30/06/22,3120,735.5,2384.5
Forbesganj-Simrahi (BR-3) Four-Laning Highway Project,735,Substantial Expansion,5250,Completed,"Engineering, Procurement & Construction",Sep-16,Bihar,31-Dec-03,31/08/14,5250,3329.4,1920.6
Fort Vypin to Matsyafed Tourist Office Road Upgradation Project (Bharatmala),1742,Substantial Expansion,2250,Announced,,Feb-24,Kerala,12-Apr-18,07/09/21,2250,1333.8,916.2
Four Lane Bridge Parallel to Vikramshila Setu over Ganga River near Barari Ghat (Connecting Naugachia with Bhagalpur) Project,1639,New Unit,9943.1,Under Implementation,"Engineering, Procurement & Construction",Dec-27,Bihar,01-Aug-15,08/07/22,9943.1,17000,-7056.9
Four Lane Bridge across River Ganga at Farakka (including approaches connecting Farraka-Raiganj (NH-34) section) Project,1246,Substantial Expansion,5210,Under Implementation,"Engineering, Procurement & Construction",,West Bengal,10-Nov-16,19/04/19,5210,5166.2,43.8
Four Lane Bypass on Western side of Gwalior Project (Rairu Nirwali-Girwai),1675,New Unit,5369.1,Announced,,,Madhya Pradesh,01-Apr-15,21/01/21,5369.1,4820,549.1
Four Lane Connector from Delhi-Meerut Expressway to NH-235 (Package 5 of Delhi-Meerut Expressway) Project,2013,New Unit,5345.8,Under Implementation,"Engineering, Procurement & Construction",,NCT of Delhi,01-Jan-21,11/03/21,5345.8,5345.8,0
Four Lane Elevated Highway at Gopalganj Town (NH-27) Project,2001,New Unit,2390,Under Implementation,"Engineering, Procurement & Construction",May-24,Bihar,01-Dec-17,25/11/22,2390,2431.9,-41.9
Four Lane Greenfield Jabalpur City Bypass/Outer Ring Road Project,1718,New Unit,36000,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,17-Aug-16,07/11/22,36000,20000,16000
Four Lane Highway from Ghazipur-Ballia-UP/Bihar State Border Section of NH-31 from Buxar Spur Project (Package-IV),2105,New Unit,3095.1,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,12-Apr-17,02/08/22,3095.1,3095.1,0
Four Lane Kumta Bypass (NH-66) Project,1203,New Unit,1420,Announced,,,Karnataka,19-Nov-15,26/05/16,1420,1420,0
Four Lane ROB near Neleshwaram (NH-66) Project,1409,Substantial Expansion,831.6,Under Implementation,"Engineering, Procurement & Construction",,Kerala,26-Oct-17,19/07/21,831.6,566.7,264.9
Four Lane Spur of Panipat-Shamli connecting NH-709AD (Panipat-Shamli-Muzaffarnagar) and NH709A (Karnal-Meerut) bypassing Shamli Project,2010,New Unit,1115.5,Under Implementation,"Engineering, Procurement & Construction",,Haryana,01-Jan-22,06/04/22,1115.5,1115.5,0
Four Lane Vehicular Underpass (VUP) at Aler-Jeedikal Cross Road on Hyderabad-Warangal Section of NH-163 Project,2006,Substantial Expansion,355.7,Under Implementation,"Engineering, Procurement & Construction",,Telangana,01-Jan-21,02/03/21,355.7,355.7,0
Four Lane Western Side Spur of Rampur-Rudrapur Section connecting NH-24 to NH-87 bypassing Rampur Town Project,2019,New Unit,3117.4,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Sep-21,18/10/21,3117.4,3117.4,0
Four Laning of Varagali Road from Chillakur Cross to Chintawaram (Package II) Project (Bharatmala),1737,Substantial Expansion,3328.7,Announced,"Engineering, Procurement & Construction",,Andhra Pradesh,01-Jan-18,15/05/18,3328.7,3328.7,0
Four/ Six Laning of Kharar-Banur-Tepla (NH-205) Road Project,1773,New Unit,21000,Shelved,,,Punjab,22-Nov-17,23/09/19,21000,19758.9,1241.1
Four/Six-Lane Access Controlled Highway (NH-152D) starting from Junction with Rewari-Kanina road (SH-24) near Kanina to Narnaul Project (Package 8 of Ismailabad-Narnaul NH-152D) (Bharatmala),1619,New Unit,10331.9,Completed,"Engineering, Procurement & Construction",Jan-22,Haryana,01-Jan-18,31/12/19,10331.9,6072.7,4259.2
GB Nagar Six Lane Expressway Project (Package 4 of Eastern Peripheral Expressway),1123,New Unit,7893.1,Completed,"Engineering, Procurement & Construction",May-18,Uttar Pradesh,31-Jan-95,29/10/14,7893.1,7893.1,0
GB Nagar-Faridabad Six Lane Expressway Project (Package 5 of Eastern Peripheral Expressway),997,New Unit,6645.3,Completed,"Engineering, Procurement & Construction",May-18,Haryana,31-Jan-95,29/10/14,6645.3,6645.3,0
Gadu-Porbandar (NH-8E) Two/Four lane Highway Project,943,Substantial Expansion,5120,Completed,Hybrid Annuity,Feb-21,Gujarat,23-May-12,31/10/17,5120,4019.5,1100.5
Gagaria (NH-25)-Baori Kalan-Serwa-Lakdassar-Bakhasar section (NH-925) & Sata-Gandhav section (NH-925 A) Two Lane Highway Project,1110,Substantial Expansion,11038.8,Completed,"Engineering, Procurement & Construction",Dec-20,Rajasthan,05-Apr-15,28/02/19,11038.8,6250,4788.8
Gagodhar-Radhanpur NH-15 (Package 5) Project,235,Substantial Expansion,2880,Completed,"Engineering, Procurement & Construction",May-08,Gujarat,01-Oct-02,01/01/06,2880,4102.4,-1222.4
Gandhidham-Samakhiali (PackII) Port Connectivity Highway Project,200,Substantial Expansion,674,Completed,"Engineering, Procurement & Construction",Jul-02,Gujarat,01-Apr-99,01/01/02,674,880,-206
Gandhidham-Samakhiali(PackIII)Port Connectivity Project,201,Substantial Expansion,473.5,Completed,"Engineering, Procurement & Construction",Mar-02,Gujarat,01-Mar-99,01/01/02,473.5,646.4,-172.9
Ganga Bridge to Rama Devi Crossing (Jajmau-Ramadevi) NH-25 Section Highway Project,588,New Unit,2016.6,Completed,"Engineering, Procurement & Construction",Jun-16,Uttar Pradesh,31-Dec-03,01/10/09,2016.6,1590,426.6
Gangavaram Port Greenfield Bypass Road Development Project,1376,New Unit,800,No Information,,,Andhra Pradesh,01-Apr-16,03/06/16,800,800,0
Garamore to Bamanbore (NH-8A) Highway Project,233,Substantial Expansion,3347.2,Completed,,Jul-09,Gujarat,31-Dec-03,01/07/09,3347.2,2899.2,448
Garamore-Gagodhar NH-8A (Package 4) Project,234,Substantial Expansion,4795.4,Completed,,Feb-12,Gujarat,05-Dec-02,01/04/10,4795.4,3390,1405.4
Garhmukteshwar-Moradabad (NH-24) Highway Project,343,Substantial Expansion,3100,Completed,,Oct-12,Uttar Pradesh,30-Apr-00,30/06/12,3100,2300,800
Gauribidanur Two Lane Bypass (NH-69) Project,1870,New Unit,406.8,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Jul-20,19/12/20,406.8,406.8,0
Ghagas-Hamirpur (NH-88) Highway Project,1075,New Unit,2900,No Information,,,Himachal Pradesh,01-Jan-15,23/03/15,2900,2900,0
Ghaghar Bridge (Indo Nepal Border)-Varanasi NH-233 Four Laning Road Project,892,Substantial Expansion,15260,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,01-Mar-12,17/04/18,15260,13538.9,1721.1
Ghaghar Bridge (Indo Nepal Border)-Varanasi NH-233 Four Laning Road Project (Package-I),1081,Substantial Expansion,6740,Completed,"Engineering, Procurement & Construction",Mar-19,Uttar Pradesh,01-Mar-12,31/10/17,6740,6116.5,623.5
Ghaziabad-GB Nagar Six Lane Expressway Project (Package 3 of Eastern Peripheral Expressway),996,New Unit,7885.1,Completed,"Engineering, Procurement & Construction",May-18,Uttar Pradesh,31-Jan-95,29/10/14,7885.1,7885.1,0
Ghaziabad-Hapur Highway & Hapur Bypass Project,56,Substantial Expansion,1060,Completed,"Engineering, Procurement & Construction",Aug-02,Uttar Pradesh,01-Mar-99,01/07/02,1060,1000,60
Ghoshpukur (Dhupguri)-Salsalabari (NH-31D) Four Lane Highway Project (Package-II),1121,Substantial Expansion,19952,Under Implementation,"Engineering, Procurement & Construction",Dec-24,West Bengal,01-Dec-09,31/05/18,19952,9720,10232
Ghoshpukur-Salsalabari (Dhupguri) (NH-31D) Four Lane Highway Project (Package-I),717,Substantial Expansion,17550,Completed,"Engineering, Procurement & Construction",Aug-21,West Bengal,01-Dec-09,31/10/17,17550,11350,6200
Giddalur-Vinukonda (NH-544D) Two Lane Highway Project (Bharatmala),1444,Substantial Expansion,9256,Completed,Hybrid Annuity,Feb-21,Andhra Pradesh,20-Dec-17,18/02/21,9256,5650.9,3605.1
Goa/Karnataka Border to Panaji (NH-4A) Four-Laning Highway Project,1041,Substantial Expansion,8000,Under Implementation,Build Operate Transfer,,Goa,12-Aug-08,01/01/10,8000,3824.6,4175.4
Gogunda-Udaipur NH-76 Highway Project,642,New Unit,3130,Completed,,Dec-09,Rajasthan,31-Dec-03,31/12/09,3130,2660,470
Gohana-Sonepat (NH-352A) Four Lane Highway Project (Package 2) (Bharatmala),1632,Substantial Expansion,15020,Under Implementation,Hybrid Annuity,,Haryana,01-Jan-18,13/07/20,15020,6225.8,8794.2
Gola-Bokaro (Jaina More) (NH-320) Four Lane Greenfield Highway Project (Package-I) (Bharatmala),1992,Substantial Expansion,10070,Under Implementation,Hybrid Annuity,Apr-24,Jharkhand,01-Dec-20,19/03/23,10070,10030,40
Gollapudi to Manipal Hospital Bypass Road Project,585,New Unit,12000,No Information,,,Andhra Pradesh,22-May-09,22/05/09,12000,12000,0
Gondal Chowkdi (NH-27) Six Lane Elevated Flyover (Bridge) Project,1522,New Unit,890,Completed,"Engineering, Procurement & Construction",Mar-23,Gujarat,04-Jul-18,05/03/23,890,880,10
Gondal-Ribda Section(EW-10/GJ) Highway Project,195,Substantial Expansion,405,Completed,"Engineering, Procurement & Construction",Jan-03,Gujarat,01-Mar-01,01/01/02,405,680,-275
Gopalganj-Chhapra Two-Laning Highway Project,540,New Unit,11920,Completed,"Engineering, Procurement & Construction",Dec-20,Bihar,21-Nov-08,20/12/20,11920,3250,8670
Gopalganj-Muzaffarpur section of NH-28 Four Lane Highway project (Lucknow - Muzaffarpur),1608,Substantial Expansion,719.3,No Information,,,Bihar,31-Jul-05,11/10/18,719.3,719.3,0
Gorakhpur-Bareilly Road Corridor Project,2090,New Unit,264860,Announced,,,Uttar Pradesh,01-Sep-21,03/02/23,264860,264860,0
Gorakhpur-Forbesganj-Siliguri Four/Six Lane Expressway Project,1932,Substantial Expansion,320000,Announced,,,Uttar Pradesh,01-Oct-21,05/01/22,320000,60000,260000
Gorakhpur-Gopalganj (NH-28) Four Laning Highway Project,1085,Substantial Expansion,5818.4,Completed,"Engineering, Procurement & Construction",Jun-20,Bihar,15-Mar-03,26/05/15,5818.4,5818.4,0
Gorakhpur-Sonauli Highway Project,645,Renovation & Modernisation,181,No Information,,,Uttar Pradesh,22-Jul-09,22/07/09,181,181,0
Gorhar-Barwa Adda Highway Project,159,Substantial Expansion,4249.6,Completed,,Sep-10,Jharkhand,01-Jun-01,30/09/10,4249.6,3160,1089.6
Govindpur (Rajgunj)-Chas-West Bengal Border (NH-32) Two/Four Laning Highway Project,824,New Unit,11440,Completed,"Engineering, Procurement & Construction",Jun-22,Jharkhand,22-Nov-10,02/06/22,11440,2710,8730
Gowthami River Bridge Project,172,New Unit,1029,Completed,,Apr-05,Andhra Pradesh,01-Aug-01,01/09/01,1029,1029,0
Greenfield Road Connecting North & South Industrial Cluster of Khandaleru Creek near Krishnapatnam Port Project,1716,New Unit,3914.2,Under Implementation,"Engineering, Procurement & Construction",,Andhra Pradesh,01-Apr-16,02/08/21,3914.2,5800,-1885.8
Guddehosur to Start of Ramanathapura Terakanambi Road Junction (NH-275) Four Lane Highway Project (Package-2 of Mysuru-Kushalnagar Highway),1985,Substantial Expansion,10678.1,Under Implementation,Hybrid Annuity,,Karnataka,01-Dec-21,31/12/21,10678.1,10678.1,0
Gujadal-Porbandar NH8B Project,91,Substantial Expansion,2812,No Information,,,Gujarat,01-Jul-02,01/07/02,2812,2812,0
Guna Bypass Project,883,New Unit,600,Completed,Build Operate Transfer,Dec-07,Madhya Pradesh,01-Mar-03,01/01/05,600,400,200
"Gundla Pochampalli to Bowenpalli, Shivarampalli to Thondapalli Highway Project",322,New Unit,990,Completed,"Engineering, Procurement & Construction",Jun-15,Telangana,15-Mar-00,31/07/08,990,990,0
Gundlapochampally-Bowenpally Six Lane Highway (NH-44) Project,2002,Substantial Expansion,5220,Under Implementation,"Engineering, Procurement & Construction",,Telangana,01-Dec-21,29/04/22,5220,4222.9,997.1
Gundugolanu-Kalaparru (NH-5) (New NH-16) Six Lane Highway Project (Bharatmala),1828,Substantial Expansion,5786.2,Under Implementation,"Engineering, Procurement & Construction",,Andhra Pradesh,01-Jan-18,09/08/20,5786.2,5054,732.2
Gundugolanu-Rajahmundry Six Laning Highway Project,984,Substantial Expansion,16170,No Information,"Design, Build, Finance, Operate and Transfer (Toll) basis",,Andhra Pradesh,15-Sep-11,30/03/12,16170,17510,-1340
Gurgaon-Kotputli Highway Project,40,New Unit,3800,Completed,"Engineering, Procurement & Construction",Mar-01,Haryana,01-Mar-98,01/01/01,3800,2985,815
Gurgaon-Pataudi-Rewari (NH-352W) Four-Laning Highway Project,1815,Substantial Expansion,15240,Under Implementation,Hybrid Annuity,Nov-23,Telangana,31-Jan-15,14/07/20,15240,2910,12330
Guru Sikhar-Abu Road (connecting NH) Project,1236,New Unit,3000,No Information,,,Rajasthan,20-Dec-16,20/12/16,3000,3000,0
Gurvaygudem Village-Devarapalle Village Four Lane Access Controlled Greenfield Highway Project (Package 5 of Khammam-Devarapalle NH-365BG),1886,New Unit,8174.8,Under Implementation,,Sep-24,Andhra Pradesh,01-Apr-18,21/12/22,8174.8,7119.4,1055.4
Guwahati Bypass (AS 14 A) Highway Project,716,New Unit,337.8,Completed,,Jan-09,Assam,31-Aug-05,31/08/05,337.8,337.8,0
Guwahati Bypass(EW-14/AS) Highway Project,198,New Unit,636.9,Completed,"Engineering, Procurement & Construction",Jun-04,Assam,01-May-01,01/04/04,636.9,420,216.9
Guwahati Bypass(EW/7) Highway Project__,224,New Unit,548.7,Completed,"Engineering, Procurement & Construction",Dec-03,Assam,01-Jun-00,01/01/02,548.7,548.7,0
Guwahati Six Lane Bypass (NH-37) (section of Jalukbari-Koinadhora Highway) Project,1319,Substantial Expansion,3000,Under Implementation,"Engineering, Procurement & Construction",Dec-23,Assam,27-Jul-17,05/05/23,3000,3560.2,-560.2
Guwahati-Nalbari (NH-31) Highway Project,282,New Unit,6230,Completed,"Engineering, Procurement & Construction",Aug-16,Assam,01-Dec-03,31/08/14,6230,1759.6,4470.4
HP/Punjab Border-Mandi (NH-20) Four Lane Highway Project,1222,Substantial Expansion,44325,No Information,,,Himachal Pradesh,31-Oct-16,07/06/17,44325,44325,0
Hajipur-Muzaffarpur (NH-77) Eight Lane Road Project,1789,Substantial Expansion,6717,Completed,Build Operate Transfer,Apr-21,Bihar,29-May-18,29/04/21,6717,6717,0
Halvad Cross Road (NH-8A) Flyover Project with approaches (on Bamanbore-Garamore section),1254,New Unit,220,Completed,"Engineering, Procurement & Construction",Jun-18,Gujarat,30-Oct-16,31/10/17,220,246.2,-26.2
Hanamkonda (NH163) Two Lane Road Project,2029,New Unit,3170,Under Implementation,,,Telangana,01-Apr-22,29/04/22,3170,3170,0
Handia-Varanasi (TNHP/III-C) Highway Project,690,New Unit,2860,Completed,"Engineering, Procurement & Construction",Apr-08,Uttar Pradesh,01-Mar-01,01/03/01,2860,2860,0
Hanspal Flyover (NH-16) Project,1776,New Unit,246.3,Under Implementation,"Engineering, Procurement & Construction",Aug-23,Odisha,01-Apr-19,08/06/20,246.3,320,-73.7
Hapur-Garhmukteshwar (NH-24) Highway Project,342,Substantial Expansion,2850,Completed,"Engineering, Procurement & Construction",Nov-13,Uttar Pradesh,01-Dec-03,31/03/13,2850,2300,550
Harangaj-Maibang-Lumding Highway Project,276,New Unit,14104.9,Under Implementation,"Engineering, Procurement & Construction",,Assam,01-Dec-03,01/07/09,14104.9,14104.9,0
Harda-Temagaon (NH-47) Four Lane Highway Project (Package 1 of Harda-Betul) (Bharatmala),1796,New Unit,6760,Under Implementation,Hybrid Annuity,Sep-23,Madhya Pradesh,14-Mar-18,17/03/22,6760,4991.7,1768.3
Haridwar Ring Road Project,1451,New Unit,20000,Under Implementation,,,Uttarakhand,28-Dec-17,24/06/22,20000,15660,4340
Haridwar-Nagina (NH-34&734) Four Lane Highway Project,1024,Substantial Expansion,16590,Under Implementation,"Engineering, Procurement & Construction",,Uttarakhand,15-Dec-09,31/10/17,16590,9150,7440
Hariharganj-Rudwa (Near Parwa More) (NH-98) Four Lane Highway project,1455,Substantial Expansion,10293.6,Under Implementation,Hybrid Annuity,Feb-24,Jharkhand,15-Jan-18,17/12/22,10293.6,5440.7,4852.9
Harmu Road Flyover (LPN Nath Shahdeo Chowk-Kartik Oraon Chowk) Project,1764,New Unit,1300,Shelved,,,Jharkhand,01-Mar-17,02/06/18,1300,1210,90
Haryana-Rajasthan border and ends at Junction with SH44 Eight Lane Carriageway Project (Package 4 of Delhi-Vadodara Expressway on NH-148N) (Delhi-Mumbai Expressway),1541,Substantial Expansion,12282,Completed,"Engineering, Procurement & Construction",Jun-22,Rajasthan,31-Mar-98,10/08/19,12282,11899.2,382.8
Hassan (NH-75) Four Lane Bypass Project,1650,Substantial Expansion,3721.9,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Jan-17,04/07/19,3721.9,3409.9,312
Hassan-Huliyar-Hiriyur (NH-150A) Four Lane Road Project,1920,Substantial Expansion,22100,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Apr-19,27/07/21,22100,20000,2100
Hassan-Maranahalli (NH-75) Four Lane Highway Project (Hassan-B.C. Road Pkg-I),784,Substantial Expansion,16050,Under Implementation,"Design, Build, Finance and Operate",,Karnataka,19-May-10,10/10/14,16050,3900,12150
Hathipali-Hosur(NS/11) Highway Project,45,Substantial Expansion,470,Completed,"Engineering, Procurement & Construction",Aug-02,Karnataka,01-Dec-98,01/01/02,470,400,70
Haveri-Harihar (NH-4) Highway Project,749,New Unit,2040,Completed,,Oct-13,Karnataka,30-Apr-00,31/08/13,2040,1966.5,73.5
Haveri-Tumkur (Chitradurga Bypass) Highway Project,115,Substantial Expansion,1545,Completed,,Dec-10,Karnataka,30-Apr-00,31/03/10,1545,720,825
Haveri-Tumkur (Chitradurga-Sira) Highway Project,116,Substantial Expansion,3040,Completed,,May-08,Karnataka,01-Jun-01,01/01/02,3040,2680,360
Haveri-Tumkur (Harihar-Chitradurga) Highway Project,81,Substantial Expansion,2075.6,Completed,,Oct-13,Karnataka,30-Apr-00,01/07/09,2075.6,3180,-1104.4
Haveri-Tumkur(Sira-Tumkur) Highway Project,75,Substantial Expansion,1840,Completed,"Engineering, Procurement & Construction",Jan-05,Karnataka,01-Dec-00,01/01/02,1840,10000,-8160
Hebbal flyover to Bengaluru International Airport Road Project,801,Substantial Expansion,6793.6,Completed,Design Build Finance Operate Transfer,Mar-14,Karnataka,13-Jan-10,13/01/10,6793.6,6793.6,0
Hebbal-Kempapura Junction Skywalk Project,1065,New Unit,24,Completed,,May-17,Karnataka,01-Mar-11,08/03/15,24,24,0
Hero Honda Chowk Eight Lane Flyover & Underpass Project,972,New Unit,1980,Completed,"Engineering, Procurement & Construction",May-18,Haryana,02-Mar-09,24/07/17,1980,1000,980
Hero Honda Chowk FOB Project,1207,New Unit,42,No Information,,,Haryana,01-Feb-10,11/05/13,42,42,0
High Level Bridge over Cheruthoni River connecting Thodupuzha-Puliuyanmala (NH-185) Project,1865,Renovation & Modernisation,238.3,Under Implementation,,,Kerala,15-Sep-18,12/10/20,238.3,150,88.3
Himalaya Truck Factory FOB Project,830,New Unit,10,No Information,,,Karnataka,01-Dec-10,01/12/10,10,10,0
Himatnagar-Chiloda (Near Ahmedabad) (UG-IV) Highway Project,133,New Unit,1750,Completed,"Engineering, Procurement & Construction",Dec-05,Gujarat,01-Mar-01,01/07/03,1750,2080,-330
Hinganghat-Nandgaon Junction (NH-44) Flyover Project,1640,New Unit,860,Completed,"Engineering, Procurement & Construction",Jun-21,Maharashtra,24-Oct-18,17/06/21,860,665.6,194.4
Hiranagar CRPF Service Road Project (on NH-44 Pathankot-Jammu section),1753,New Unit,19.8,No Information,,,Jammu & Kashmir,05-Jun-19,05/06/19,19.8,19.8,0
Hiranagar-Vijaypur Highway project,727,New Unit,1513.6,Completed,,Oct-11,Jammu & Kashmir,01-Sep-05,01/09/05,1513.6,1513.6,0
Hisar-Dabwali (NH-10) Four Lane Highway Project (Package-I),911,Substantial Expansion,5797.6,Completed,"Engineering, Procurement & Construction",May-18,Haryana,01-Apr-12,16/12/14,5797.6,5745.9,51.7
Hisar-Dabwali (NH-10) Four Lane Highway Project (Package-II),1005,New Unit,6480,Completed,"Engineering, Procurement & Construction",Mar-18,Haryana,01-Apr-12,31/10/17,6480,7016.2,-536.2
Hodal-Bhiruki-Hasanpur-Kashipur-Kushak-Barauli-Ghori-Dadota-Mohna-Arwa-Chandpur-Manjhawali Four Laning Highway Project,1028,Substantial Expansion,8000,No Information,"Engineering, Procurement & Construction",,Haryana,01-Sep-14,09/09/14,8000,8000,0
Hoskote-Dobbaspet (NH-648) Four/Six Laning Highway Project (Banglore Ring Road),1406,Substantial Expansion,11533,Under Implementation,Hybrid Annuity,,Karnataka,01-Jan-12,23/03/12,11533,7206.9,4326.1
Hospet-Bellary-Karnataka/AP Border Four Lane Highway Project,1037,Substantial Expansion,16219.6,Under Implementation,Hybrid Annuity,,Karnataka,29-Oct-10,06/04/16,16219.6,12541,3678.6
Hosur-Krishnagiri Four Lane Highway Project,17,Substantial Expansion,2130,Completed,"Engineering, Procurement & Construction",Feb-04,Tamil Nadu,01-Jun-97,01/01/02,2130,1500,630
Hotel Radisson Blu-Hotel Pride Flyover Project (on Wardha Road),1054,New Unit,5000,Completed,,Nov-20,Maharashtra,15-Mar-14,23/02/16,5000,1900,3100
Hridaipur-Shahapur (NH-31) Four Lane Greenfield Highway Project (Package-I of Ghazipur-Ballia-UP/Bihar State Border),1284,Substantial Expansion,8452.8,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,12-Apr-17,02/08/22,8452.8,4836.4,3616.4
Hubli-Ankola Six lane Road Project (Port Connectivity),1726,Substantial Expansion,25380,No Information,,,Karnataka,01-Dec-16,31/01/19,25380,25380,0
Hubli-Bijapur(Section of NH-218) Highway Project,67,New Unit,83.4,No Information,,,Karnataka,01-Dec-99,01/12/99,83.4,83.4,0
Hubli-Dharwad (NH-4) Six Lane Bypass Project (Bangalore-Pune Section),1849,Substantial Expansion,10500,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Apr-15,28/02/22,10500,12000,-1500
Hubli-Dharwad Ring Road Project,1333,New Unit,170,Under Implementation,,,Karnataka,01-Mar-02,17/09/04,170,170,0
Hubli-Hospet NH-67 (Old NH-63) Four Laning Highway Project,902,Substantial Expansion,27222.6,Completed,"Engineering, Procurement & Construction",Feb-22,Karnataka,15-Apr-12,28/02/22,27222.6,13330,13892.6
Hyderabad (ORR Appa Junction)- Manneguda Four Lane Road (NH-163) Project,1853,Substantial Expansion,9284.1,Under Implementation,Hybrid Annuity,,Telangana,28-Jul-17,21/09/21,9284.1,10773.2,-1489.1
"Hyderabad-Bangalore (NH-7,NS Corridor) Highway Project",442,New Unit,13353.9,Completed,Build Operate Transfer,Jan-11,Karnataka,31-Oct-06,01/07/09,13353.9,7440,5913.9
Hyderabad-Narsapur-Medak Two/Four Laning Highway Project,1331,Substantial Expansion,4265.2,Completed,,Dec-20,Telangana,28-Jul-15,05/05/18,4265.2,4000,265.2
