,COMPANY,COMPANY_CODE,PROJECT_NAME,PROJECT_NUMBER,ASSOCIATE_TYPE,ASSOCIATE_COMPANY(AC),AC_CODE,AC_COUNTRY,AC_ADDRESS,AC_PINCODE,AC_CITY,AC_STATE,AC_TEL_NO,AC_FAX,AC_EMAIL,AC_WEBSITE
24147,National Highways Authority Of India,155597,Edappally-Kundanoor Elevated Highway Project,761,Consultant,Kitco Ltd.,121500,India,"Head Office:M M Gardens, Church Landing Road, Near Fine Arts Hall, Pallimukku,",682016,Kochi,Kerala,91-484-4129000,91-484-2805066,mail@kitco.in,www.kitco.in
24148,National Highways Authority Of India,155597,Edappally-Kundanoor Elevated Highway Project,761,Contractor,Delhi Metro Rail Corpn. Ltd.,57888,India,"Registered Office:Metro Bhawan, Fire Brigade Lane, Barakhamba Road,",110001,New Delhi,NCT of Delhi,91-11-23417910,91-11-23417921,sksakhuja@gmail.com,www.delhimetrorail.com
24149,National Highways Authority Of India,155597,Edappally-Kundanoor Elevated Highway Project,761,Contractor,Larsen & Toubro Ltd.,127106,India,"Head Office:L & T House, Ballard Estate,  Post Box 278,",400001,Mumbai,Maharashtra,91-22-67525656,91-22-23420814,Nehal.Shah@larsentoubro.com,www.larsentoubro.com
24150,National Highways Authority Of India,155597,Edappally-Kundanoor Elevated Highway Project,761,Contractor,R D S Project Ltd.,185799,India,"Registered Office:427, Somdutt Chambers-II, 9, Bhikaji Cama Place,",110066,New Delhi,NCT of Delhi,91-11-26170242,91-11-26168092,agra@rdsproject.com,www.rdsproject.com
24151,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting after End of Bridge over Hadaf River near Hathiyavan Village with SH-152 near Matariya Vadi Project (Package 27 of Delhi-Mumbai Expressway),1817,Consultant,A T Kearney India Pvt. Ltd.,342760,India,"Registered Office:818 Indraprakash Building, 21 Barakhamba Road,",110001,New Delhi,NCT of Delhi,91-11-4090700,,shikha.gupta@atkeamey.com,www.atkearney.in
24152,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting after End of Bridge over Hadaf River near Hathiyavan Village with SH-152 near Matariya Vadi Project (Package 27 of Delhi-Mumbai Expressway),1817,Consultant,Chaitanya Projects Consultancy Pvt. Ltd.,576447,India,"Registered Office:1st Floor, Tower 3, Okaya Centre, Sector 62,",201301,Noida,Uttar Pradesh,91-120-4110472,,info@cpcmail.in,www.chaitanyaprojects.com
24153,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting after End of Bridge over Hadaf River near Hathiyavan Village with SH-152 near Matariya Vadi Project (Package 27 of Delhi-Mumbai Expressway),1817,Contractor,G H V (india) Pvt. Ltd.,394926,India,"Registered Office:1st Floor, Aml Center 1, 8 Maha Kali Caves Road, Andheri East,",400093,Mumbai,Maharashtra,91-22-67250014,,info@ghvgroup.com,www.ghvgroup.com
24154,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting from Junction with SH-152 near Matariya Vadi and near Bhamaiya village Project (Package 28 of Delhi-Mumbai Expressway),1816,Consultant,A T Kearney India Pvt. Ltd.,342760,India,"Registered Office:818 Indraprakash Building, 21 Barakhamba Road,",110001,New Delhi,NCT of Delhi,91-11-4090700,,shikha.gupta@atkeamey.com,www.atkearney.in
24155,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting from Junction with SH-152 near Matariya Vadi and near Bhamaiya village Project (Package 28 of Delhi-Mumbai Expressway),1816,Consultant,Chaitanya Projects Consultancy Pvt. Ltd.,576447,India,"Registered Office:1st Floor, Tower 3, Okaya Centre, Sector 62,",201301,Noida,Uttar Pradesh,91-120-4110472,,info@cpcmail.in,www.chaitanyaprojects.com
24156,National Highways Authority Of India,155597,Eight Lane Excess Controlled Expressway Starting from Junction with SH-152 near Matariya Vadi and near Bhamaiya village Project (Package 28 of Delhi-Mumbai Expressway),1816,Contractor,G H V (india) Pvt. Ltd.,394926,India,"Registered Office:1st Floor, Aml Center 1, 8 Maha Kali Caves Road, Andheri East,",400093,Mumbai,Maharashtra,91-22-67250014,,info@ghvgroup.com,www.ghvgroup.com
24157,National Highways Authority Of India,155597,Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),1208,Contractor,J Kumar Infraprojects Ltd.,104004,India,"Corporate Office:CTS No. 448, 448/1, 449, Subhash Road, Vile Parle East,",400057,Mumbai,Maharashtra,91-22-68717900,,info@jkumar.com,www.jkumar.com
24158,National Highways Authority Of India,155597,Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),1208,Contractor,Larsen & Toubro Ltd.,127106,India,"Head Office:L & T House, Ballard Estate,  Post Box 278,",400001,Mumbai,Maharashtra,91-22-67525656,91-22-23420814,Nehal.Shah@larsentoubro.com,www.larsentoubro.com
24159,National Highways Authority Of India,155597,Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),1208,Contractor,Indiabulls Real Estate Ltd.,369628,India,"Corporate Office:Indiabulls House, 448-451, Udyog Vihar, Phase-V,",122016,Gurgaon,Haryana,91-124-3082249,91-124-3081680,rtelkar@indiabulls.com,www.indiabullsrealestate.com
24160,National Highways Authority Of India,155597,Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),1208,Contractor,J M Mhatre Infra Pvt. Ltd.,451830,India,"Registered Office:Plot No 492, Market Yard,",410206,Panvel,Maharashtra,91-22-27451625,91-22-27460537,admin@jmminfra.com,www.jmminfra.com
24161,National Highways Authority Of India,155597,Eight Lane Northern Peripheral Road Project or Dwarka Expressway NH-48&(NH 248-BB) Project (Bharatmala),1208,Promoter,Haryana Urban Devp. Authority,91331,India,"Registered Office:H U D A Office Complex, C-3, Sector-6,",NA,Panchkula,Haryana,91-172-2567857,,huda@hry.nic.in,www.huda.org.in
24162,National Highways Authority Of India,155597,Eluru-Vijaywada Highway including Eluru bypass Project,22,Consultant,Kampsax,115611,Denmark,,NA,,,,,,
24163,National Highways Authority Of India,155597,Eluru-Vijaywada Highway including Eluru bypass Project,22,Turnkey contractor,Madhucon Binapuri,134107,India,,NA,,,,,,
24164,National Highways Authority Of India,155597,Ena-Kim Package-6 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),1626,Consultant,I C T Pvt. Ltd.,284672,India,"Registered Office:A - 8 & A - 9, Green Park Main,",110016,New Delhi,NCT of Delhi,91-11-40863000,91-11-26855252, info@ictonline.com,www.ictonline.com
24165,National Highways Authority Of India,155597,Ena-Kim Package-6 of Vadodara-Kim (Phase-1-Part-A) (NH-8) Expressway Project (Delhi-Mumbai Expressway),1626,Contractor,G R Infraprojects Ltd.,380699,India,"Corporate Office:2nd Floor, Novus Tower, Plot No. 18, Sector 18,",122015,Gurgaon,Haryana,91-124-6435000,,cs@grinfra.com,www.grinfra.com
24166,National Highways Authority Of India,155597,End of Hardoi District to Lucknow Ring Road (NH-731) Four Lane Highway Project (Package-IV of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2068,Consultant,Wadia Techno-engineering Services Ltd.,81370,India,"Registered Office:Neville House, J N Heredia Marg, Ballard Estate,",400001,Mumbai,Maharashtra,91-22-67021380,91-22-26673193,gel@gherzieastern.com,www.wadiaengg.com
24167,National Highways Authority Of India,155597,End of Hardoi District to Lucknow Ring Road (NH-731) Four Lane Highway Project (Package-IV of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2068,Contractor,Sobti Infratech Ltd.,94313,India,"Registered Office:E-196, Naraina Vihar,",110053,New Delhi,NCT of Delhi,,,csmanoj_bly@rediffmail.com,
24168,National Highways Authority Of India,155597,End of Hardoi District to Lucknow Ring Road (NH-731) Four Lane Highway Project (Package-IV of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2068,Contractor,R P Infraventure Pvt. Ltd.,553264,India,,NA,,,,,,
24169,National Highways Authority Of India,155597,End of Hardoi District to Lucknow Ring Road (NH-731) Four Lane Highway Project (Package-IV of Palia-Shahjahanpur-Hardoi-Lucknow Highway),2068,Promoter,National Highways Authority Of India,155597,India,"Head Office:Plot No. G-5 & 6, Sector-10, Dwarka,",110075,New Delhi,NCT of Delhi,91-11-25074100,91-11-25093507,nhaiweb@nhai.org,www.nhai.gov.in
24170,National Highways Authority Of India,155597,Etawah Bypass Highway Project,73,Consultant,S M E C International Pty. Ltd.,203789,Australia,"Registered Office:Chowdhury Bhawan, House No.33, 2nd Floor, Barthakur Mill Road, Ulubari,",781007,Guwahati,Assam,91-361-2460042,91-361-2461482,statutoryinfo.india@smec.com,www.smec.com
24171,National Highways Authority Of India,155597,Etawah Bypass Highway Project,73,Contractor,Bhagheeratha Engineering Ltd.,33012,India,"Head Office:3rd Flr, Bhagheeratha Residency, Opp. Bank Of Baroda, (Ernakulam North Br.), Banerji Road,",682018,Ernakulam,Kerala,91-484-2397906,91-484-2397983,info@belkochi.com,www.belkochi.com
24172,National Highways Authority Of India,155597,Etawah Bypass Highway Project,73,Contractor,P N C Construction Pvt. Ltd.,167138,India,,NA,,,,,,
24173,National Highways Authority Of India,155597,Etawah Bypass Highway Project,73,Contractor,Ashwini Construction & Contractors Pvt. Ltd.,335881,India,,NA,,,,,,
24174,National Highways Authority Of India,155597,Etawah-Rajpur (GTRIP/IC) Highway Project,693,Consultant,Consulting Engineering Services (india) Pvt. Ltd.,50581,India,"Registered Office:2nd Floor, Platinum Tower, Plot No. 184, Udyog Vihar, Phase- 1,",122016,Gurgaon,Haryana,91-124-3317000,91-124-3372999,Bajrang.prasad@jacobs.com,
24175,National Highways Authority Of India,155597,Etawah-Rajpur (GTRIP/IC) Highway Project,693,Contractor,Bharat Electronics Ltd.,33727,India,"Corporate Office:Outer Ring Road, Nagavara,",560045,Bengaluru,Karnataka,91-80-25039300,91-80-25039233,secretary@bel.co.in,www.bel-india.in
24176,National Highways Authority Of India,155597,Expressway from Dighi Industrial Cluster to JNPT Project,1724,Co-promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24177,National Highways Authority Of India,155597,Fagne-Maharashtra/Gujarat Border (Songarh) (NH-6) Four Laning Highway Project (Bharatmala),1801,Contractor,J M Mhatre Infra Pvt. Ltd.,451830,India,"Registered Office:Plot No 492, Market Yard,",410206,Panvel,Maharashtra,91-22-27451625,91-22-27460537,admin@jmminfra.com,www.jmminfra.com
24178,National Highways Authority Of India,155597,Faridabad Logistic Park Project,1379,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24179,National Highways Authority Of India,155597,Faridabad-Palwal Six Lane Expressway Project (Package 6 of Eastern Peripheral Expressway),1124,Contractor,Gayatri Projects Ltd.,80013,India,"Corporate Office:B-1, 1st Floor, T S R Towers, 6-3-1090, Rajbhavan Road, Somajiguda,",500082,Hyderabad,Telangana,91-40-23314284,91-40-23398435,gplhyd@gayatri.co.in,www.gayatri.co.in
24180,National Highways Authority Of India,155597,Faridabad-Palwal Six Lane Expressway Project (Package 6 of Eastern Peripheral Expressway),1124,Financial collaborator,Japan International Cooperation Agency,434751,Japan,"Registered Office:2nd Floor, Dr. Gopal Das Bhawan, 28, Barakhamba Road,",110001,New Delhi,NCT of Delhi,91-11-47685500,91-11-4768555,,www.jica.go.jp
24181,National Highways Authority Of India,155597,Farukhanagar-Kottakata(NH-7) Highway Project,323,Contractor,Larsen & Toubro Ltd.,127106,India,"Head Office:L & T House, Ballard Estate,  Post Box 278,",400001,Mumbai,Maharashtra,91-22-67525656,91-22-23420814,Nehal.Shah@larsentoubro.com,www.larsentoubro.com
24182,National Highways Authority Of India,155597,Farukhanagar-Kottakata(NH-7) Highway Project,323,Contractor,Jadcherla Expressways Pvt. Ltd.,371352,India,"Registered Office:3rd Floor, C Block TSR Towers, 6-3-1090, Rajbhavan Road,",500082,Hyderabad,Telangana,91-40-40062583,91-40-23326198,balaji.gupta@jadcherlaexpressways.com,
24183,National Highways Authority Of India,155597,Farukhnagar-Jadcheria Four Laning Highway Project,566,Contractor,Jadcherla Expressways Pvt. Ltd.,371352,India,"Registered Office:3rd Floor, C Block TSR Towers, 6-3-1090, Rajbhavan Road,",500082,Hyderabad,Telangana,91-40-40062583,91-40-23326198,balaji.gupta@jadcherlaexpressways.com,
24184,National Highways Authority Of India,155597,Fatehpur-Khaga (TNHP/II-C) Highway Project,149,Consultant,Stup Consultants Pvt. Ltd.,237364,India,"Registered Office:Unit No. 2702, 27th Floor, Rupa Renaissance, Plot D-33, D-207, Juinagar, MIDC TTC Industrial Area,",400705,Mumbai,Maharashtra,,,mumbai@stupmail.com,www.stupco.com
24185,National Highways Authority Of India,155597,Fatehpur-Khaga (TNHP/II-C) Highway Project,149,Consultant,Aarvee Associates Pvt. Ltd.,331065,India,"Registered Office:8-2-5, Ravula Residency, Srinagar City, Main Road,",500082,Hyderabad,Telangana,91-40-23737633,91-40-23736277,aarvee@aarvee.net,www.aarvee.com
24186,National Highways Authority Of India,155597,Fatehpur-Khaga (TNHP/II-C) Highway Project,149,Turnkey contractor,Centrodorstroy,43595,Russia,,NA,,,,,,
24187,National Highways Authority Of India,155597,Fazilka-Abohar (NH-07) Four Lane Highway Project,3012,Contractor,Gawar Construction Ltd.,395417,India,"Corporate Office:SF-01, JMD Galleria, Sohna Road,",122001,Gurgaon,Haryana,91-124-4854000,91-124-4854001,finance@gawar.in,
24188,National Highways Authority Of India,155597,Flyover/Underpass at Vizag Airport Junction Project,1751,Contractor,S V S Mookambika Constructions Pvt. Ltd.,412923,India,,NA,,,,,,
24189,National Highways Authority Of India,155597,FOBs on Gurgaon-Kotputli-Jaipur (NH-8 & 48) Project,1390,Contractor,E S Infraserve Pvt. Ltd.,581118,India,,NA,,,,,,
24190,National Highways Authority Of India,155597,Forbesganj-Jogbani (NH-57A) Four Laning Highway Project,978,Consultant,Antea India Pvt. Ltd.,407588,India,"Registered Office:Unit No. 404, 4th Floor, IRIS Tech Park, Sector 48, Sohna Road,",122001,Gurgaon,Haryana,91-124-4518800,91-124-4518832,ajaysingh@unihornidia.com,www.unihornindia.com
24191,National Highways Authority Of India,155597,Forbesganj-Jogbani (NH-57A) Four Laning Highway Project,978,Consultant,Transtek Engineers & Services Pvt. Ltd.,580821,India,,NA,,,,,,
24192,National Highways Authority Of India,155597,Forbesganj-Jogbani (NH-57A) Four Laning Highway Project,978,Contractor,J K M Infra Projects Ltd.,388063,India,"Registered Office:C-84, Greater Kailash-1,",110048,New Delhi,NCT of Delhi,91-11-4624555,91-11-4624545,roc@jkminfra.com,
24193,National Highways Authority Of India,155597,Forbesganj-Simrahi (BR-3) Four-Laning Highway Project,735,Consultant,S N C-lavalin Infrastructure Pvt. Ltd.,232230,India,"Registered Office:E-3-5, 2nd Floor, J-Block Local Shopping Complex, Sacket,",NA,New Delhi,Delhi,91-11-6565838,91-11-6866768,,www.snclavalininfra.com
24194,National Highways Authority Of India,155597,Forbesganj-Simrahi (BR-3) Four-Laning Highway Project,735,Contractor,Gammon India Ltd.,78250,India,"Head Office:Gammon House, Veer Savarkar Marg, Prabhadevi,",400025,Mumbai,Maharashtra,91-22-61153000,91-22-24300221,gammon@gammonindia.com,www.gammonindia.com
24195,National Highways Authority Of India,155597,Fort Vypin to Matsyafed Tourist Office Road Upgradation Project (Bharatmala),1742,Promoter,Ministry Of Road Transport & Highways,301849,India,"Registered Office:Transport Bhavan, 1, Parliament Street,",110001,New Delhi,Delhi,91-11-23753991,,nr.gokarn@nic.in,www.morth.nic.in
24196,National Highways Authority Of India,155597,Four Lane Bridge across River Ganga at Farakka (including approaches connecting Farraka-Raiganj (NH-34) section) Project,1246,Contractor,R K E C Projects Ltd.,475933,India,"Registered Office:Door No 10-12-1, Rednam Alcazar, 3rd Floor, Opp. S B I Main Branch, Old Jail Road, Rednam Gardens,",530002,Visakhapatnam,Andhra Pradesh,91-891-2574517,91-891-2574703,info@rkecprojects.com,www.rkecprojects.com
24197,National Highways Authority Of India,155597,Four Lane Bridge Parallel to Vikramshila Setu over Ganga River near Barari Ghat (Connecting Naugachia with Bhagalpur) Project,1639,Contractor,S P Singla Constructions Pvt. Ltd.,204670,India,"Corporate Office:47, Sector-9,",134113,Panchkula,Haryana,91-172-2571595,91-172-4620941,spscpki@gmail.com,www.spsingla.com
24198,National Highways Authority Of India,155597,Four Lane Bridge Parallel to Vikramshila Setu over Ganga River near Barari Ghat (Connecting Naugachia with Bhagalpur) Project,1639,Promoter,Bihar Rajya Pul Nirman Nigam Ltd.,35527,India,"Registered Office:7, Sardar Patel Marg,",800015,Patna,Bihar,91-612-2226562,91-612-2223316,info@brpnnl.co.in,www.brapnn.bih.nic.in
24199,National Highways Authority Of India,155597,Four Lane Bypass on Western side of Gwalior Project (Rairu Nirwali-Girwai),1675,Consultant,Lion Engineering Consultants,551358,India,"Registered Office:Plot No. 97, Lion Tower, Near Mother Teresa School, Kolar Road,",462042,Bhopal,Madhya Pradesh,91-755-2879496,91-755-2879499,info@liongroup.in,www.lionengineering.in
24200,National Highways Authority Of India,155597,Four Lane Connector from Delhi-Meerut Expressway to NH-235 (Package 5 of Delhi-Meerut Expressway) Project,2013,Contractor,Mathiyan Construction Pvt. Ltd.,419088,India,,NA,,,,,,
24201,National Highways Authority Of India,155597,Four Lane Connector from Delhi-Meerut Expressway to NH-235 (Package 5 of Delhi-Meerut Expressway) Project,2013,Contractor,A P S Hydro Pvt. Ltd.,483858,India,"Registered Office:House No. 58, Floor 1st, Block 10 Landmark Opp. Old Police Station Kirti Nagar Ind. Area,",110015,New Delhi,NCT of Delhi,,,apshydro@gmail.com,
24202,National Highways Authority Of India,155597,Four Lane Elevated Highway at Gopalganj Town (NH-27) Project,2001,Contractor,A S C Infratech Pvt. Ltd.,599981,India,"Registered Office:H - 37, Sector 63, Gautam Buddha Nagar,",201301,Noida,Uttar Pradesh,,,asc29032010@gmail.com,www.ascinfratech.com
24203,National Highways Authority Of India,155597,Four Lane Greenfield Jabalpur City Bypass/Outer Ring Road Project,1718,Consultant,L N Malviya Infra Projects Pvt. Ltd.,512280,India,"Registered Office:Plot No. 1, City Centre, T-10, 3rd Floor, M P Nagar, Zone I, Press Complex,",462011,Bhopal,Madhya Pradesh,91-755-4295421,91-755-4295421,hec_bhopal@rediffmail.com,www.lninfra.com
24204,National Highways Authority Of India,155597,Four Lane Greenfield Jabalpur City Bypass/Outer Ring Road Project,1718,Contractor,N K C Projects Pvt. Ltd.,394083,India,"Registered Office:Unit No. 154, Vardhman Crown Mall, Plot No. 2 Sec-19, Plot No. 2, Sec-19 Dwarka,",110075,New Delhi,NCT of Delhi,,,compliance@nkcproject.com,www.nkcproject.com
24205,National Highways Authority Of India,155597,Four Lane Greenfield Jabalpur City Bypass/Outer Ring Road Project,1718,Contractor,I S C Projects Pvt. Ltd.,445366,India,"Registered Office:S-2, The Metropole, Adjacent To Inox, Bund Garden Road,",411001,Pune,Maharashtra,91-20-41299000,91-20-41299004,info@iscprojects.co.in,www.iscprojects.co.in
24206,National Highways Authority Of India,155597,Four Lane Greenfield Jabalpur City Bypass/Outer Ring Road Project,1718,Contractor,Vijai Construction (india) Pvt. Ltd.,530179,India,,NA,,,,,,
24207,National Highways Authority Of India,155597,Four Lane Kumta Bypass (NH-66) Project,1203,Consultant,Indian Technocrat Ltd.,99026,India,"Registered Office:Plot No.8, Sector B-7, Local Shopping Complex, Vasant Kunj,",110070,New Delhi,NCT of Delhi,91-11-49531100,91-11-49531166,info@itl.net.in,www.itl.net.in
24208,National Highways Authority Of India,155597,Four Lane ROB near Neleshwaram (NH-66) Project,1409,Consultant,Aecom Asia Co. Ltd.,453427,Hong Kong,"Registered Office:9th Floor, Infinity Tower-C, DLF Cyber City DLF Phase II,",122002,Gurgaon,Haryana,91-124-4830100,91-124-4830108,sunil2.kumar@aecom.com,www.aecom.com
24209,National Highways Authority Of India,155597,Four Lane ROB near Neleshwaram (NH-66) Project,1409,Contractor,E K K Infrastructure Ltd.,536863,India,"Corporate Office:IInd Floor, Municipal Building, A M Road, Perumbavoor,",683542,Ernakulam,Kerala,91-484-2523603,91-484-2523603,info@ekk.co.in,www.ekk.co.in
24210,National Highways Authority Of India,155597,Four Lane Spur of Panipat-Shamli connecting NH-709AD (Panipat-Shamli-Muzaffarnagar) and NH709A (Karnal-Meerut) bypassing Shamli Project,2010,Contractor,Ramky Infrastructure Ltd.,347143,India,"Registered Office:Ramky Grandiose, 15th Floor, Sy No. 136/2 & 4, Gachibowli,",500032,Hyderabad,Telangana,91-40-23015000,91-40-23015444,investors@ramky.com,www.ramkyinfrastructure.com
24211,National Highways Authority Of India,155597,Four Lane Spur of Panipat-Shamli connecting NH-709AD (Panipat-Shamli-Muzaffarnagar) and NH709A (Karnal-Meerut) bypassing Shamli Project,2010,Contractor,Brij Gopal Construction Co. Pvt. Ltd.,408202,India,"Registered Office:A-7/2, Shivaji Apptt., Sector-14, Rohini,",110085,Delhi,NCT of Delhi,91-11-25818656,,raman010@yahoo.com,
24212,National Highways Authority Of India,155597,Four Lane Vehicular Underpass (VUP) at Aler-Jeedikal Cross Road on Hyderabad-Warangal Section of NH-163 Project,2006,Consultant,Theme Engineering Services Pvt. Ltd.,442985,India,"Registered Office:B-24, Gokul Vatika, Jawahar Circle,",302018,Jaipur,Rajasthan,91-141-2724495,,theme@themeengineering.com,www.themeengineering.com
24213,National Highways Authority Of India,155597,Four Lane Vehicular Underpass (VUP) at Aler-Jeedikal Cross Road on Hyderabad-Warangal Section of NH-163 Project,2006,Contractor,Rockeira Engineering L L P,588717,India,,NA,,,,,,
24214,National Highways Authority Of India,155597,Four Lane Western Side Spur of Rampur-Rudrapur Section connecting NH-24 to NH-87 bypassing Rampur Town Project,2019,Contractor,Raj Shyama Constructions Pvt. Ltd.,389920,India,"Registered Office:49 F/F Ring Road, Lajpatnagar,",110024,New Delhi,NCT of Delhi,,,rajshyama.gzb@gmail.com,
24215,National Highways Authority Of India,155597,Four Lane Western Side Spur of Rampur-Rudrapur Section connecting NH-24 to NH-87 bypassing Rampur Town Project,2019,Contractor,Dev Yash Projects & Infrastructure Pvt. Ltd.,604509,India,,NA,,,,,,
24216,National Highways Authority Of India,155597,Four/Six-Lane Access Controlled Highway (NH-152D) starting from Junction with Rewari-Kanina road (SH-24) near Kanina to Narnaul Project (Package 8 of Ismailabad-Narnaul NH-152D) (Bharatmala),1619,Consultant,S A Infrastructure Consultants Pvt. Ltd.,537251,India,"Registered Office:B-4/8, Glaxo Apartments, Mayur Vihar, Phase-I,",110091,New Delhi,NCT of Delhi,91-120-6148000,,fidele.sra@gmail.com,www.sainfra.com
24217,National Highways Authority Of India,155597,Four/Six-Lane Access Controlled Highway (NH-152D) starting from Junction with Rewari-Kanina road (SH-24) near Kanina to Narnaul Project (Package 8 of Ismailabad-Narnaul NH-152D) (Bharatmala),1619,Consultant,Enviro Infra Solutions Pvt. Ltd.,570121,India,"Registered Office:301,302 & 305, SRBC, Plot No. INS-12, Sector-9, Vasundhara,",201012,Ghaziabad,Uttar Pradesh,91-120-4151183,,eis@enviroinfrasolutions.com,www.enviroinfrasolutions.com
24218,National Highways Authority Of India,155597,Four/Six-Lane Access Controlled Highway (NH-152D) starting from Junction with Rewari-Kanina road (SH-24) near Kanina to Narnaul Project (Package 8 of Ismailabad-Narnaul NH-152D) (Bharatmala),1619,Contractor,Gawar Construction Ltd.,395417,India,"Corporate Office:SF-01, JMD Galleria, Sohna Road,",122001,Gurgaon,Haryana,91-124-4854000,91-124-4854001,finance@gawar.in,
24219,National Highways Authority Of India,155597,Gadu-Porbandar (NH-8E) Two/Four lane Highway Project,943,Contractor,Kalthia Engineering & Construction Ltd.,114870,India,"Corporate Office:28, Rangin Park, Opp. Rajpath Club, S G Highway, Bodakdev,",380059,Ahmedabad,Gujarat,91-79-26870501,91-79-26870501,kecl@kathiagroup.com,www.kalthiagroup.com
24220,National Highways Authority Of India,155597,Gagaria (NH-25)-Baori Kalan-Serwa-Lakdassar-Bakhasar section (NH-925) & Sata-Gandhav section (NH-925 A) Two Lane Highway Project,1110,Contractor,G H V (india) Pvt. Ltd.,394926,India,"Registered Office:1st Floor, Aml Center 1, 8 Maha Kali Caves Road, Andheri East,",400093,Mumbai,Maharashtra,91-22-67250014,,info@ghvgroup.com,www.ghvgroup.com
24221,National Highways Authority Of India,155597,Gagodhar-Radhanpur NH-15 (Package 5) Project,235,Consultant,Consulting Engineering Services (india) Pvt. Ltd.,50581,India,"Registered Office:2nd Floor, Platinum Tower, Plot No. 184, Udyog Vihar, Phase- 1,",122016,Gurgaon,Haryana,91-124-3317000,91-124-3372999,Bajrang.prasad@jacobs.com,
24222,National Highways Authority Of India,155597,Gagodhar-Radhanpur NH-15 (Package 5) Project,235,Contractor,Sadbhav Engineering Ltd.,206660,India,"Head Office:'Sadbhav House', Opp. Law Garden Police Chowki, Ellisbridge,",380006,Ahmedabad,Gujarat,"91-79-26463384,26460047",91-79-26400210,sadbhavad1@sancharnet.in,www.sadbhaveng.com
24223,National Highways Authority Of India,155597,Gandhidham-Samakhiali (PackII) Port Connectivity Highway Project,200,Consultant,Consulting Engineering Services (india) Pvt. Ltd.,50581,India,"Registered Office:2nd Floor, Platinum Tower, Plot No. 184, Udyog Vihar, Phase- 1,",122016,Gurgaon,Haryana,91-124-3317000,91-124-3372999,Bajrang.prasad@jacobs.com,
24224,National Highways Authority Of India,155597,Gandhidham-Samakhiali (PackII) Port Connectivity Highway Project,200,Contractor,P B A Infrastructure Ltd.,165960,India,"Registered Office:611/3, V N Purav Marg, Chembur (East),",400071,Mumbai,Maharashtra,91-22-61277200,91-22-61277203,pbamumbai@gmail.com,www.pbainfra.in
24225,National Highways Authority Of India,155597,Gandhidham-Samakhiali(PackIII)Port Connectivity Project,201,Consultant,Consulting Engineering Services (india) Pvt. Ltd.,50581,India,"Registered Office:2nd Floor, Platinum Tower, Plot No. 184, Udyog Vihar, Phase- 1,",122016,Gurgaon,Haryana,91-124-3317000,91-124-3372999,Bajrang.prasad@jacobs.com,
24226,National Highways Authority Of India,155597,Ganga Bridge to Rama Devi Crossing (Jajmau-Ramadevi) NH-25 Section Highway Project,588,Consultant,Feedback Turnkey Engineers Pvt. Ltd.,72650,India,"Registered Office:10/6 Sarvapriya Vihar, New Delhi",110016,,Delhi,,,,
24227,National Highways Authority Of India,155597,Ganga Bridge to Rama Devi Crossing (Jajmau-Ramadevi) NH-25 Section Highway Project,588,Contractor,Gammon India Ltd.,78250,India,"Head Office:Gammon House, Veer Savarkar Marg, Prabhadevi,",400025,Mumbai,Maharashtra,91-22-61153000,91-22-24300221,gammon@gammonindia.com,www.gammonindia.com
24228,National Highways Authority Of India,155597,Garamore to Bamanbore (NH-8A) Highway Project,233,Contractor,N C C Ltd.,153366,India,"Corporate Office:Nagarjuna Hills,",500082,Hyderabad,Telangana,91-40-23351753,91-40-23350214,nccho@ncc-ltd.com,www.ncclimited.com
24229,National Highways Authority Of India,155597,Garamore-Gagodhar NH-8A (Package 4) Project,234,Contractor,Daelim E & C India Ltd.,54969,India,"Registered Office:28, Najafgarh Road,",110001,New Delhi,Delhi,,,,
24230,National Highways Authority Of India,155597,Garamore-Gagodhar NH-8A (Package 4) Project,234,Contractor,N C C Ltd.,153366,India,"Corporate Office:Nagarjuna Hills,",500082,Hyderabad,Telangana,91-40-23351753,91-40-23350214,nccho@ncc-ltd.com,www.ncclimited.com
